dummy,newshead,date,office,title,attacker,advantage,Evaluated,namming,partiality,Sum,URL
_,1400551.202,20201025,충북일보,동성 대리운전기사 성추행한 40대 남성 집행유예,남성,0,0,0,0,0,https://www.inews365.com/news/article.html?no=641340
_,1100701.202,20201025,세계일보,사우나 취객 성추행범으로 몰아 상습적으로 금품 갈취한 50대 실형,남성,0,0,0,0,0,http://www.segye.com/content/html/2020/10/25/20201025508453.html
_,1100801.202,20201025,조선일보,"성폭행男 집 다시 찾은 피해자, 대법 ""그래도 피해자”",남성,1,0,0,0,1,https://www.chosun.com/national/court_law/2020/10/25/K43LS6RDHVFNVNFUZ5FSEUAIEY/?utm_source=bigkinds&utm_medium=original&utm_campaign=news
_,1100611.202,20201025,서울신문,“성폭행 피해자가 왜 찾아와” 또다시 성폭행한 남성(종합),남성,1,1,0,0,2,http://www.seoul.co.kr/news/newsView.php?id=20201025500024
_,1100701.202,20201025,세계일보,“사과하라”며 집 찾아온 미성년자에 또 몹쓸 짓 징역 5년,남성,0,0,1,0,1,http://www.segye.com/content/html/2020/10/25/20201025506008.html
_,1100901.202,20201025,중앙일보,"성폭행 다음날 ""사과해"" 찾아간 소녀, 이걸 물고 늘어진 가해자",남성,0,0,1,1,2,https://news.joins.com/article/olink/23497248
_,2100601.202,20201024,한국경제,7살 여아 성추행한 '전자발찌' 50대男 1심서 징역 4년,남성,0,0,0,-1,-1,https://www.hankyung.com/society/article/2020102447977
_,2100801.202,20201024,아시아경제,"사우나서 ""왜 내 몸 만져"" 허위 신고해 현금 갈취, 결국 징역형",남성,0,0,0,0,0,http:www.asiae.co.kr/article/2020102413464535264
_,2100601.202,20201024,한국경제,"""돈 더 줄 테니 만져보자"" 동성 대리기사 강제추행 40대男 '집유'",남성,-1,0,0,0,-1,https://www.hankyung.com/society/article/2020102443867
_,1500701.202,20201024,부산일보,"사우나 수면실서 취객에 ""네가 성추행"" 공갈 징역 3년 실형",남성,0,0,0,0,0,http://www.busan.com/view/busan/view.php?code=2020102411503681306
_,2100601.202,20201024,한국경제,"""돈 더 줄 테니 만져보자"" 대리기사 성추행한 40대 집유",남성,-1,0,0,0,-1,https://www.hankyung.com/society/article/2020102443037
_,2100801.202,20201024,아시아경제,"""돈 더줄게 만지게 해 달라"" 동성 대리운전기사 성추행 집행유예 선고",남성,-1,0,0,0,-1,http:www.asiae.co.kr/article/2020102411305001783
_,1100801.202,20201024,조선일보,사우나서 취객에 “성추행 당했다”며 합의금 뜯어낸 50대 실형,남성,0,0,0,0,0,https://www.chosun.com/national/national_general/2020/10/24/HU4YGMYAPBHULE4I3YUZDCABPI/?utm_source=bigkinds&utm_medium=original&utm_campaign=news
